ticker,quarter,gold_revenue,gold_oz_sold,realised_price,w_gold,L0a,aisc_margin,L1,L2,published_aisc,aisc_comparable,aisc_basis_note,gold_cost_total,total_revenue,aisc_ratio,is_outlier,recon_residual_pct,flags
AEM,2026Q2,3741.473,835505,4478.097677452559,0.983868541697236,63.19593913947797,66.6271667869847,33.703144157814016,33.91533210461403,1459.0,1494.4680690121545,restated from per-ounce-produced to per-ounce-sold,2480.478961184312,3802.818,0.333728332130153,False,0.09,AISC_PER_PRODUCED
GOLD,2021Q1,2641.0,1093000,1774.931381518756,0.8934370771312584,40.66641423703143,42.64567010309279,26.4630970246949,26.4630970246949,1018.0,1018.0,"as published (by-product, per oz sold)",1942.109607577808,2956.0,0.5735432989690721,False,-0.15,ONLY_CONSOLIDATED;KOZ_ROUNDED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2021Q2,2589.0,1070000,1822.429906542056,0.8949187694434843,39.89957512553109,40.35435897435897,10.089830716436117,18.276463870565507,1087.0,1087.0,"as published (by-product, per oz sold)",2327.774282751469,2893.0,0.5964564102564103,False,0.164,ONLY_CONSOLIDATED;KOZ_ROUNDED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2021Q3,2531.0,1071000,1770.3081232492998,0.8956121726822364,37.06045041485579,41.59208860759493,12.763334091099104,16.438753944076705,1034.0,1034.0,"as published (by-product, per oz sold)",2207.960014154281,2826.0,0.5840791139240507,False,-0.037,ONLY_CONSOLIDATED;KOZ_ROUNDED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2021Q4,2977.0,1234000,1793.354943273906,0.8993957703927492,40.81289889150151,45.8556710347944,27.61867164880397,19.233733370258523,971.0,971.0,"as published (by-product, per oz sold)",2154.7921450151057,3310.0,0.541443289652056,False,0.066,ONLY_CONSOLIDATED;KOZ_ROUNDED;DERIVED_Q4_STATEMENT;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2022Q1,2511.0,993000,1876.1329305135955,0.8801261829652997,37.27598566308244,37.95748792270531,16.84374242292902,16.82889471981705,1164.0,1164.0,"as published (by-product, per oz sold)",2088.0536277602523,2853.0,0.6204251207729469,False,-0.074,ONLY_CONSOLIDATED;KOZ_ROUNDED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2022Q2,2597.0,1040000,1860.576923076923,0.9083595662819168,34.69387755102041,34.858914728682166,8.327592455739353,16.388335154642864,1212.0,1212.0,"as published (by-product, per oz sold)",2380.732423924449,2859.0,0.6514108527131783,False,-0.117,ONLY_CONSOLIDATED;KOZ_ROUNDED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2022Q3,2277.0,997000,1723.1695085255767,0.9010684606252474,28.5024154589372,26.356635622817222,0.3721772359614103,13.29054594085844,1269.0,1269.0,"as published (by-product, per oz sold)",2268.5255243371585,2527.0,0.7364336437718277,False,0.222,ONLY_CONSOLIDATED;KOZ_ROUNDED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2022Q4,2535.0,1111000,1726.3726372637263,0.9138428262436914,25.956607495069036,28.05724713242961,2.2257394316625634,6.942312886573086,1242.0,1242.0,"as published (by-product, per oz sold)",2478.577505407354,2774.0,0.7194275286757039,False,-0.207,ONLY_CONSOLIDATED;KOZ_ROUNDED;DERIVED_Q4_STATEMENT;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2023Q1,2411.0,954000,1901.46750524109,0.9122209610291336,27.250103691414356,27.95038588754134,9.195635529111827,5.030286163118788,1370.0,1370.0,"as published (by-product, per oz sold)",2189.2932273931137,2643.0,0.7204961411245866,False,-0.075,ONLY_CONSOLIDATED;KOZ_ROUNDED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2023Q2,2584.0,1001000,1972.027972027972,0.9121073067419696,32.469040247678016,31.28900709219857,6.905948141048829,4.674875084446158,1355.0,1355.0,"as published (by-product, per oz sold)",2405.5503000352983,2833.0,0.6871099290780143,False,0.048,ONLY_CONSOLIDATED;KOZ_ROUNDED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
GOLD,2023Q3,2588.0,1027000,1928.919182083739,0.9042627533193572,33.34621329211747,34.93765774861182,13.786740284946813,8.028515846692507,1255.0,1255.0,"as published (by-product, per oz sold)",2231.1991614255767,2862.0,0.6506234225138818,False,0.009,ONLY_CONSOLIDATED;KOZ_ROUNDED;ROYALTY_NO_PRODTAX_SPLIT;CAPINT_DEDUPED
