ticker,quarter,realised_price,ref_price,ref_dev_pct,gate5_testable,gate5_pass,is_outlier,in_headline_aggregate
AEM,2005Q1,520.4813436559876,427.0,21.892586336296873,True,False,True,False
AEM,2005Q2,431.6432700247729,427.0,1.0874168676283147,True,True,True,False
AEM,2005Q3,,440.0,,False,True,False,False
AEM,2005Q4,,485.0,,False,True,False,False
AEM,2006Q1,,554.0,,False,True,False,False
AEM,2006Q2,683.7253551159662,628.0,8.873464190440474,True,False,True,False
AEM,2006Q3,,622.0,,False,True,False,False
AEM,2006Q4,,614.0,,False,True,False,False
AEM,2007Q1,669.2624828218048,650.0,2.9634588956622827,True,True,True,False
AEM,2007Q2,683.1572708573021,667.0,2.4223794388758826,True,True,True,False
AEM,2007Q3,,681.0,,False,True,False,False
AEM,2007Q4,,787.0,,False,True,False,False
AEM,2008Q1,1089.0572912628886,925.0,17.73592337977174,True,False,True,False
AEM,2008Q2,,896.0,,False,True,False,False
AEM,2008Q3,,871.0,,False,True,False,False
AEM,2008Q4,,795.0,,False,True,False,False
AEM,2009Q1,968.8214459172916,909.0,6.581017152617339,True,True,True,False
AEM,2009Q2,932.0466542462352,922.0,1.0896588119560977,True,True,True,False
AEM,2009Q3,933.51861209365,960.0,-2.7584779069114638,True,True,True,False
AEM,2009Q4,1152.997516624642,1100.0,4.817956056785637,True,True,True,False
AEM,2010Q1,1110.9987616310116,1109.0,0.18023098566380302,True,True,False,False
AEM,2010Q2,1222.0015917230403,1197.0,2.0886876961604255,True,True,False,False
AEM,2010Q3,1200.4224478305616,1227.0,-2.16605967151087,True,True,True,False
AEM,2010Q4,1387.0017649241008,1367.0,1.4631869000805284,True,True,False,False
AEM,2011Q1,1357.870004738588,1386.0,-2.029581187692062,True,True,False,False
AEM,2011Q2,1567.877459862627,1509.0,3.9017534700216627,True,True,False,False
AEM,2011Q3,1719.662786092062,1702.0,1.0377665153973035,True,True,False,True
AEM,2011Q4,1640.0019353434025,1688.0,-2.8434872426894273,True,True,False,False
AEM,2012Q1,1684.0595479499482,1691.0,-0.4104347752839632,True,True,False,True
AEM,2012Q2,1613.0842120942457,1611.0,0.1293738109401419,True,True,False,True
AEM,2012Q3,1696.5919178663785,1652.0,2.699268635979327,True,True,True,True
AEM,2012Q4,1684.000536444713,1721.0,-2.149881670847594,True,True,False,False
AEM,2013Q1,1610.7970762568189,,,False,True,False,True
AEM,2013Q2,1335.831569063031,,,False,True,True,True
AEM,2013Q3,1332.832539510366,,,False,True,False,True
AEM,2013Q4,1243.843428140916,,,False,True,False,True
AEM,2014Q1,1316.2016888464022,,,False,True,False,True
AEM,2014Q2,1299.0934500841004,,,False,True,False,True
AEM,2014Q3,1256.8322001319675,,,False,True,False,False
AEM,2014Q4,1209.5349730199468,,,False,True,False,False
AEM,2015Q1,1213.3367956374966,,,False,True,False,False
AEM,2015Q2,1207.2803050456682,,,False,True,False,False
AEM,2015Q3,1129.5540905553266,,,False,True,False,False
AEM,2015Q4,1104.3176418977391,,,False,True,False,False
AEM,2016Q1,1199.415690922738,,,False,True,False,False
AEM,2016Q2,1275.8884936457594,,,False,True,False,False
AEM,2016Q3,1340.2876473537272,,,False,True,False,False
AEM,2016Q4,1203.4420294431966,,,False,True,False,False
AEM,2017Q1,1225.876764533495,,,False,True,False,True
AEM,2017Q2,1262.965229962393,,,False,True,False,True
AEM,2017Q3,1285.0169877521548,,,False,True,True,True
AEM,2017Q4,1282.0098993755337,,,False,True,False,True
AEM,2018Q1,1343.4470842332614,,,False,True,True,True
AEM,2018Q2,1304.112602369168,,,False,True,False,True
AEM,2018Q3,1214.3475411760105,,,False,True,False,True
AEM,2018Q4,1245.6128427807903,,,False,True,False,True
