ticker,file,hint_y,hint_q,kind,year,quarter,agree,evidence
AEM,2005-Q1_0001047469-05-014609_a2158184z6-k.htm,2005,1,Q,2005.0,1.0,True,"march 31, 2005"
AEM,2005-Q1_0001047469-05-014784_a2158340z6-k.htm,2005,1,Q,2005.0,1.0,True,"march 31, 2005"
AEM,2005-Q1_0001047469-05-015676_a2158776z6-k.htm,2005,1,Q,2005.0,1.0,True,"march 31, 2005"
AEM,2005-Q1_0001047469-05-015786_a2158807z6-k.htm,2005,1,FY,2003.0,4.0,False,"december 31, 2003"
AEM,2005-Q1_0001047469-05-017365_a2159739z6-k.htm,2005,1,,,,False,no period phrase in header window
AEM,2005-Q2_0001047469-05-020258_a2161446z6-k.htm,2005,2,H,2005.0,2.0,True,"june 30, 2005"
AEM,2005-Q2_0001047469-05-021703_a2162223zex-99_1.htm,2005,2,Q,2005.0,2.0,True,"june 30, 2005"
AEM,2005-Q3_0001047469-05-024382_a2163953z6-k.htm,2005,3,,,,False,no period phrase in header window
AEM,2005-Q3_0001047469-05-025945_a2164700z6-k.htm,2005,3,,,,False,no period phrase in header window
AEM,2005-Q3_0001047469-05-026790_a2165150z6-k.htm,2005,3,,,,False,no period phrase in header window
AEM,2005-Q3_0001047469-05-028544_a2166230z6-k.htm,2005,3,,,,False,no period phrase in header window
AEM,2005-Q4_0001047469-06-002413_a2167778zex-99_1.htm,2005,4,,,,False,no period phrase in header window
AEM,2005-Q4_0001047469-06-004056_a2168598z20-f.htm,2005,4,FY,2005.0,4.0,True,"december 31, 2005"
AEM,2005-Q4_0001047469-06-004668_a2169155z6-k.htm,2005,4,FY,2005.0,4.0,True,"december 31, 2005"
AEM,2006-Q1_0001047469-06-004548_a2169101z6-k.htm,2006,1,,,,False,no period phrase in header window
AEM,2006-Q2_0001047469-06-010907_a2172681zex-99_1.htm,2006,2,Q,2006.0,2.0,True,"june 30, 2006"
AEM,2006-Q4_0001047469-07-002366_a2176731z20-f.htm,2006,4,FY,2006.0,4.0,True,"december 31, 2006"
AEM,2006-Q4_0001104659-07-011333_a07-4619_36k.htm,2006,4,,,,False,no period phrase in header window
AEM,2006-Q4_0001104659-07-013309_a07-5331_16k.htm,2006,4,,,,False,no period phrase in header window
AEM,2006-Q4_0001104659-07-015021_a07-6802_16k.htm,2006,4,,,,False,no period phrase in header window
AEM,2007-Q1_0001047469-07-002390_a2177040z6-k.htm,2007,1,,,,False,no period phrase in header window
AEM,2007-Q1_0001047469-07-002390_a2177040zex-99_1.htm,2007,1,,,,False,no period phrase in header window
AEM,2007-Q1_0001047469-07-002390_a2177040zex-99_2.htm,2007,1,,,,False,no period phrase in header window
AEM,2007-Q1_0001047469-07-002390_a2177040zex-99_3.htm,2007,1,FY,2006.0,4.0,False,"december 31, 2006"
AEM,2007-Q1_0001047469-07-003804_a2177733zex-99_1.htm,2007,1,,,,False,no period phrase in header window
AEM,2007-Q1_0001047469-07-003804_a2177733zex-99_2.htm,2007,1,,,,False,no period phrase in header window
AEM,2007-Q1_0001047469-07-004379_a2178016zex-99_1.htm,2007,1,Q,2007.0,1.0,True,"march 31, 2007"
AEM,2007-Q1_0001104659-07-039215_a07-14055_16k.htm,2007,1,,,,False,no period phrase in header window
AEM,2007-Q1_0001104659-07-050763_a07-17591_16k.htm,2007,1,,,,False,no period phrase in header window
AEM,2007-Q2_0001047469-07-006473_a2179358zex-99_1.htm,2007,2,,,,False,no period phrase in header window
AEM,2007-Q2_0001047469-07-006473_a2179358zex-99_2.htm,2007,2,Q,2007.0,2.0,True,"june 30, 2007"
AEM,2007-Q2_0001104659-07-052932_a07-18394_16k.htm,2007,2,,,,False,no period phrase in header window
AEM,2007-Q2_0001104659-07-058590_a07-20968_16k.htm,2007,2,,,,False,no period phrase in header window
AEM,2007-Q2_0001104659-07-069915_a07-24139_16k.htm,2007,2,,,,False,no period phrase in header window
AEM,2007-Q3_0001047469-07-009497_a2181367z6-k.htm,2007,3,,,,False,no period phrase in header window
AEM,2007-Q3_0001104659-07-077305_a07-27595_16k.htm,2007,3,,,,False,no period phrase in header window
AEM,2007-Q3_0001104659-07-088380_a07-31223_16k.htm,2007,3,,,,False,no period phrase in header window
AEM,2007-Q4_0001047469-08-003612_a2183565z20-f.htm,2007,4,FY,2007.0,4.0,True,"december 31, 2007"
AEM,2007-Q4_0001047469-08-003617_a2184218z6-k.htm,2007,4,,,,False,no period phrase in header window
AEM,2007-Q4_0001047469-08-003617_a2184218zex-99_1.htm,2007,4,,,,False,no period phrase in header window
AEM,2007-Q4_0001047469-08-003617_a2184218zex-99_2.htm,2007,4,,,,False,no period phrase in header window
AEM,2007-Q4_0001047469-08-003617_a2184218zex-99_3.htm,2007,4,,,,False,no period phrase in header window
AEM,2007-Q4_0001047469-08-003617_a2184218zex-99_4.htm,2007,4,,,,False,no period phrase in header window
AEM,2007-Q4_0001104659-08-011437_a08-5866_16k.htm,2007,4,,,,False,no period phrase in header window
AEM,2007-Q4_0001104659-08-012240_a08-5866_26k.htm,2007,4,,,,False,no period phrase in header window
AEM,2007-Q4_0001104659-08-014974_a08-5866_36k.htm,2007,4,,,,False,no period phrase in header window
AEM,2008-Q1_0001047469-08-006540_a2185782z6-k.htm,2008,1,,,,False,no period phrase in header window
AEM,2008-Q1_0001047469-09-003540_a2192067z6-k.htm,2008,1,,,,False,no period phrase in header window
AEM,2008-Q1_0001047469-09-003540_a2192067zex-99_1.htm,2008,1,,,,False,no period phrase in header window
AEM,2008-Q1_0001047469-09-003540_a2192067zex-99_2.htm,2008,1,,,,False,no period phrase in header window
AEM,2008-Q1_0001047469-09-003540_a2192067zex-99_3.htm,2008,1,,,,False,no period phrase in header window
AEM,2008-Q1_0001047469-09-003540_a2192067zex-99_4.htm,2008,1,,,,False,no period phrase in header window
AEM,2008-Q1_0001104659-08-032653_a08-14181_16k.htm,2008,1,,,,False,no period phrase in header window
AEM,2008-Q1_0001104659-08-041086_a08-17048_16k.htm,2008,1,,,,False,no period phrase in header window
AEM,2008-Q2_0001047469-08-009549_a2187529z6-k.htm,2008,2,,,,False,no period phrase in header window
AEM,2008-Q2_0001104659-08-045635_a08-19303_16k.htm,2008,2,,,,False,no period phrase in header window
AEM,2008-Q2_0001104659-08-047623_a08-19983_16k.htm,2008,2,,,,False,no period phrase in header window
AEM,2008-Q2_0001104659-08-049826_a08-20893_16k.htm,2008,2,,,,False,no period phrase in header window
AEM,2008-Q2_0001104659-08-057174_a08-23005_16k.htm,2008,2,,,,False,no period phrase in header window
AEM,2008-Q3_0001047469-08-012005_a2188564z6-k.htm,2008,3,,,,False,no period phrase in header window
AEM,2008-Q3_0001104659-08-067218_a08-27385_16k.htm,2008,3,,,,False,no period phrase in header window
AEM,2008-Q3_0001104659-08-071990_a08-28914_16k.htm,2008,3,,,,False,no period phrase in header window
AEM,2008-Q3_0001104659-08-072687_a08-28914_26k.htm,2008,3,,,,False,no period phrase in header window
AEM,2008-Q3_0001104659-08-074295_a08-29615_16k.htm,2008,3,,,,False,no period phrase in header window
AEM,2008-Q3_0001104659-08-074582_a08-29722_16k.htm,2008,3,,,,False,no period phrase in header window
AEM,2008-Q3_0001104659-08-076242_a08-30366_16k.htm,2008,3,,,,False,no period phrase in header window
AEM,2008-Q3_0001104659-08-076242_a08-30366_1ex99d1.htm,2008,3,,,,False,no period phrase in header window
AEM,2008-Q3_0001104659-08-076736_a08-30366_26k.htm,2008,3,,,,False,no period phrase in header window
AEM,2008-Q4_0001047469-09-003515_a2191825z20-f.htm,2008,4,FY,2008.0,4.0,True,"december 31, 2008"
AEM,2008-Q4_0001104659-09-001963_a09-2952_16k.htm,2008,4,,,,False,no period phrase in header window
AEM,2008-Q4_0001104659-09-001963_a09-2952_1ex99d1.htm,2008,4,,,,False,no period phrase in header window
AEM,2008-Q4_0001104659-09-010956_a09-5976_16k.htm,2008,4,,,,False,no period phrase in header window
AEM,2008-Q4_0001104659-09-014432_a09-6875_16k.htm,2008,4,,,,False,no period phrase in header window
AEM,2008-Q4_0001104659-09-017019_a09-7622_16k.htm,2008,4,,,,False,no period phrase in header window
AEM,2009-Q1_0001047469-09-005577_a2193096z6-k.htm,2009,1,,,,False,no period phrase in header window
AEM,2009-Q1_0001047469-09-005577_a2193096zex-99_1.htm,2009,1,Q,2009.0,1.0,True,"march 31, 2009"
AEM,2009-Q1_0001104659-09-028795_a09-12248_16k.htm,2009,1,,,,False,no period phrase in header window
AEM,2009-Q1_0001104659-09-039445_a09-16741_16k.htm,2009,1,,,,False,no period phrase in header window
AEM,2009-Q2_0001047469-09-007668_a2194168z6-k.htm,2009,2,,,,False,no period phrase in header window
AEM,2009-Q2_0001047469-09-007668_a2194168zex-99_1.htm,2009,2,Q,2009.0,2.0,True,"june 30, 2009"
