ticker,quarter,period_start,period_end,basis,segment_revenue_gold,total_revenue,opcost_ex_dda,segment_dda,royalties,corporate_g_and_a,exploration_expensed,capex_total,reclamation_accretion,lease_payments,net_interest,capitalised_interest,cash_tax_paid,gold_oz_sold,gold_oz_produced,published_aisc,aisc_basis,published_aisc_byproduct,published_aic,byproduct_credits,net_income_attributable,impairment_charges,recon_aisc,recon_residual_pct,flags,source_file
NEM,2013Q1,2013-01-01,2013-03-31,consolidated,2042.0,2177.0,949.0,242.0,,56.0,111.0,510.0,18.0,,65.0,,,1252000,1281000,1086.0,by-product,,,135.0,315.0,0.0,1086.3,0.0002,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid,data/raw/NEM/2013-Q1_0001193125-13-183142_d527228d10q.htm;data/raw/NEM/2013-Q1_0001144204-13-024753_v343073_ex99-1.htm
NEM,2013Q2,2013-04-01,2013-06-30,consolidated,1845.0,1993.0,1178.0,314.0,,54.0,122.0,610.0,18.0,,70.0,,,1331000,1284000,1548.0,by-product,,,148.0,-2019.0,2261.0,1547.7,-0.0002,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative,data/raw/NEM/2013-Q2_0001193125-13-303560_d566986d10q.htm;data/raw/NEM/2013-Q2_0001157523-13-003605_a50678034ex991.htm
NEM,2013Q3,2013-07-01,2013-09-30,consolidated,1805.0,1983.0,885.0,265.0,,48.0,127.0,408.0,17.0,,76.0,,,1365000,1382000,993.0,co-product,,,,408.0,3.0,993.4,0.0004,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative,data/raw/NEM/2013-Q3_0001193125-13-421225_d620881d10q.htm;data/raw/NEM/2013-Q3_0001157523-13-005190_a50741565ex99_1.htm
NEM,2013Q4,2013-10-01,2013-12-31,consolidated,1953.0,2169.0,1164.0,319.0,,45.0,109.0,372.0,17.0,,92.0,,,1541000,1514000,1032.0,co-product,,,44.0,-1166.0,2087.0,1032.4,0.0004,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_q4;derived_from_cumulative,data/raw/NEM/2013-Q4_0001193125-14-061205_d653301d10k.htm;data/raw/NEM/2013-Q4_0001157523-14-000721_a50808667ex99_1.htm
NEM,2014Q1,2014-01-01,2014-03-31,consolidated,1651.0,1764.0,960.0,273.0,,45.0,76.0,235.0,20.0,,93.0,,,1278000,1292000,1034.0,co-product,,,23.0,100.0,0.0,1034.4,0.0004,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid,data/raw/NEM/2014-Q1_0001193125-14-158041_d708626d10q.htm;data/raw/NEM/2014-Q1_0001157523-14-001585_a50850879ex99_1.htm
NEM,2014Q2,2014-04-01,2014-06-30,consolidated,1629.0,1765.0,944.0,271.0,,48.0,83.0,254.0,21.0,,94.0,,,1269000,1299000,1063.0,co-product,,,24.0,180.0,13.0,1063.0,0.0000,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative,data/raw/NEM/2014-Q2_0001193125-14-285190_d755143d10q.htm;data/raw/NEM/2014-Q2_0001157523-14-003083_a50914668ex99_1.htm
NEM,2014Q3,2014-07-01,2014-09-30,consolidated,1607.0,1746.0,893.0,239.0,,45.0,80.0,277.0,20.0,,89.0,,,1267000,,995.0,co-product,,,19.0,213.0,5.0,995.3,0.0003,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative,data/raw/NEM/2014-Q3_0001564590-14-004746_nem-10q_20140930.htm;data/raw/NEM/2014-Q3_0001157523-14-004243_a50973637ex99_1.htm
NEM,2014Q4,2014-10-01,2014-12-31,consolidated,1705.0,2017.0,900.0,261.0,,48.0,86.0,344.0,19.0,,85.0,,,1426000,1389000,927.0,co-product,,,19.0,15.0,8.0,927.1,0.0001,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_q4;derived_from_cumulative,data/raw/NEM/2014-Q4_0001564590-15-000777_nem-10k_20141231.htm;data/raw/NEM/2014-Q4_0001157523-15-000640_a51043821ex99_1.htm
NEM,2015Q1,2015-01-01,2015-03-31,consolidated,1645.0,1972.0,834.0,251.0,,44.0,61.0,284.0,22.0,,85.0,,,1367000,,849.0,co-product,,,20.0,183.0,0.0,849.3,0.0004,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid,data/raw/NEM/2015-Q1_0001564590-15-002819_nem-10q_20150331.htm;data/raw/NEM/2015-Q1_0001157523-15-001283_a51087134ex99_1.htm
NEM,2015Q2,2015-04-01,2015-06-30,consolidated,1574.0,1908.0,852.0,244.0,,51.0,81.0,322.0,22.0,,82.0,,,1337000,1402000,909.0,co-product,,,17.0,72.0,2.0,908.8,-0.0003,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative,data/raw/NEM/2015-Q2_0001558370-15-001173_nem-20150630x10q.htm;data/raw/NEM/2015-Q2_0001157523-15-002445_a51147307ex99_1.htm
NEM,2015Q3,2015-07-01,2015-09-30,consolidated,1708.0,2033.0,940.0,290.0,,43.0,66.0,335.0,24.0,,81.0,,,1548000,1538000,835.0,co-product,,,21.0,219.0,3.0,834.6,-0.0004,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative,data/raw/NEM/2015-Q3_0001558370-15-001997_nem-20150930x10q.htm;data/raw/NEM/2015-Q3_0001157523-15-003506_a51211589-ex991.htm
NEM,2015Q4,2015-10-01,2015-12-31,consolidated,1547.0,1816.0,971.0,307.0,,45.0,81.0,460.0,23.0,,77.0,,,1425000,1406000,999.0,co-product,,,15.0,-254.0,50.0,999.3,0.0003,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_q4;derived_from_cumulative,data/raw/NEM/2015-Q4_0001558370-16-003258_nem-20151231x10k.htm;data/raw/NEM/2015-Q4_0001157523-16-004624_a51281597ex99_1.htm
NEM,2016Q1,2016-01-01,2016-03-31,consolidated,1694.0,2032.0,906.0,283.0,,57.0,58.0,297.0,23.0,,79.0,,,1421000,1416000,828.0,co-product,,,20.0,52.0,0.0,827.6,-0.0005,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid,data/raw/NEM/2016-Q1_0001558370-16-004743_nem-20160331x10q.htm;data/raw/NEM/2016-Q1_0001157523-16-005152_a51324737ex99_1.htm
NEM,2016Q2,2016-04-01,2016-06-30,consolidated,1803.0,2038.0,912.0,280.0,,64.0,82.0,294.0,23.0,,71.0,,,1429000,1457000,876.0,co-product,,,20.0,23.0,0.0,876.1,0.0002,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative,data/raw/NEM/2016-Q2_0001558370-16-006685_nem-20160630x10q.htm;data/raw/NEM/2016-Q2_0001157523-16-006130_a51385438ex99-1.htm
NEM,2016Q3,2016-07-01,2016-09-30,consolidated,1728.0,1791.0,918.0,318.0,,63.0,73.0,241.0,11.0,,64.0,,,1300000,1318000,925.0,co-product,,,13.0,-358.0,0.0,924.6,-0.0004,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_from_cumulative;RESTATED,data/raw/NEM/2016-Q3_0001558370-16-008756_nem-20160930x10q.htm;data/raw/NEM/2016-Q3_0001157523-16-007034_a51447706ex99_1.htm
NEM,2016Q4,2016-10-01,2016-12-31,consolidated,1710.0,1789.0,976.0,278.0,,55.0,70.0,301.0,23.0,,69.0,,,1433000,,918.0,co-product,,,15.0,-344.0,974.0,917.7,-0.0004,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:cash_tax_paid;derived_q4;derived_from_cumulative;RESTATED,data/raw/NEM/2016-Q4_0001558370-17-000729_nem-20161231x10k.htm;data/raw/NEM/2016-Q4_0001157523-17-000559_a51513555ex99_1.htm
