ticker,quarter,period_start,period_end,basis,segment_revenue_gold,total_revenue,opcost_ex_dda,segment_dda,royalties,corporate_g_and_a,exploration_expensed,capex_total,reclamation_accretion,lease_payments,net_interest,capitalised_interest,cash_tax_paid,gold_oz_sold,gold_oz_produced,published_aisc,aisc_basis,published_aisc_byproduct,published_aic,byproduct_credits,net_income_attributable,impairment_charges,recon_aisc,recon_residual_pct,care_and_maintenance,l0b_nonrecurring,flags,source_file,total_cash_cost,derived_q4,fy_audited_gold_revenue,fy_audited_opcost_ex_dda,fy_audited_capex_total,fy_audited_cash_tax_paid,capex_ppe_additions,cash_tax_paid_alt
NEM,2005Q1,2005-01-01,2005-03-31,consolidated,844.0,961.0,477.0,123.0,,31.0,45.0,242.0,,,10.0,6.0,61.0,1994000,,,,,,,84.0,,,,,,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:total_cash_cost;TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST;RECLASSIFIED_OUT_OF_CAS_FY2008_PER_10K_NOTE_30;NOT_DISCLOSED:published_aisc;NOT_DISCLOSED:published_aic;NOT_DISCLOSED:gold_oz_produced;NOT_DISCLOSED:impairment_charges;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NET_INTEREST_EX_CAPITALIZED_LESS_INTEREST_INCOME;DUAL_SOURCE_UNAVAILABLE:capex_ppe_additions;DUAL_SOURCE_UNAVAILABLE:cash_tax_paid_alt,data/raw/NEM/2005-Q1_0001193125-05-090450_d10q.htm,,False,,,,,242.0,61.0
NEM,2005Q2,2005-04-01,2005-06-30,consolidated,842.0,1006.0,489.0,128.0,,32.0,53.0,293.0,,,18.0,9.0,79.0,2009000,,,,,,,50.0,,,,,,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:total_cash_cost;TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST;RECLASSIFIED_OUT_OF_CAS_FY2008_PER_10K_NOTE_30;NOT_DISCLOSED:published_aisc;NOT_DISCLOSED:published_aic;NOT_DISCLOSED:gold_oz_produced;NOT_DISCLOSED:impairment_charges;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NET_INTEREST_EX_CAPITALIZED_LESS_INTEREST_INCOME;DUAL_SOURCE_UNAVAILABLE:capex_ppe_additions;DUAL_SOURCE_UNAVAILABLE:cash_tax_paid_alt;derived_from_cumulative,data/raw/NEM/2005-Q2_0001193125-05-152871_d10q.htm,,False,,,,,293.0,79.0
NEM,2005Q3,2005-07-01,2005-09-30,consolidated,933.0,1164.0,516.0,132.0,,32.0,59.0,355.0,,,7.0,11.0,74.0,2164000,,,,,,,126.0,,,,,,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:total_cash_cost;TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST;RECLASSIFIED_OUT_OF_CAS_FY2008_PER_10K_NOTE_30;NOT_DISCLOSED:published_aisc;NOT_DISCLOSED:published_aic;NOT_DISCLOSED:gold_oz_produced;NOT_DISCLOSED:impairment_charges;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NET_INTEREST_EX_CAPITALIZED_LESS_INTEREST_INCOME;DUAL_SOURCE_UNAVAILABLE:capex_ppe_additions;DUAL_SOURCE_UNAVAILABLE:cash_tax_paid_alt;derived_from_cumulative,data/raw/NEM/2005-Q3_0001193125-05-211099_d10q.htm,,False,,,,,355.0,74.0
NEM,2005Q4,2005-10-01,2005-12-31,consolidated,1115.0,1275.0,535.0,128.0,,39.0,63.0,336.0,,,4.0,13.0,82.0,2385000,,,,,,,62.0,,,,,,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:total_cash_cost;TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST;RECLASSIFIED_OUT_OF_CAS_FY2008_PER_10K_NOTE_30;NOT_DISCLOSED:published_aisc;NOT_DISCLOSED:published_aic;NOT_DISCLOSED:gold_oz_produced;NOT_DISCLOSED:impairment_charges;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NET_INTEREST_EX_CAPITALIZED_LESS_INTEREST_INCOME;DUAL_SOURCE_UNAVAILABLE:capex_ppe_additions;DUAL_SOURCE_UNAVAILABLE:cash_tax_paid_alt;derived_q4;derived_from_cumulative;SEGMENT_DDA_TOTAL_OPERATIONS_BASIS,data/raw/NEM/2005-Q4_0001193125-06-043441_d10k.htm;data/raw/NEM/2005-Q3_0001193125-05-211099_d10q.htm,,True,3734.0,2017.0,1226.0,296.0,336.0,82.0
NEM,2006Q1,2006-01-01,2006-03-31,consolidated,1011.0,1148.0,501.0,116.0,,37.0,54.0,370.0,,,1.0,15.0,94.401,1839000,,,,,,,209.0,,,,,,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:total_cash_cost;TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST;RECLASSIFIED_OUT_OF_CAS_FY2008_PER_10K_NOTE_30;NOT_DISCLOSED:published_aisc;NOT_DISCLOSED:published_aic;NOT_DISCLOSED:gold_oz_produced;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NET_INTEREST_EX_CAPITALIZED_LESS_INTEREST_INCOME;DUAL_SOURCE_UNAVAILABLE:capex_ppe_additions;TIERC:cash_tax_paid:FY_PRORATA_REV;CASH_TAX_ALLOCATED_FROM_FY;NOT_DISCLOSED:cash_tax_paid_alt,data/raw/NEM/2006-Q1_0001193125-06-093063_d10q.htm,,False,,,,,370.0,
NEM,2006Q2,2006-04-01,2006-06-30,consolidated,1108.0,1310.0,551.0,124.0,,37.0,74.0,338.0,,,6.0,16.0,103.458,1870000,,,,,,,161.0,,,,,,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:total_cash_cost;TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST;RECLASSIFIED_OUT_OF_CAS_FY2008_PER_10K_NOTE_30;NOT_DISCLOSED:published_aisc;NOT_DISCLOSED:published_aic;NOT_DISCLOSED:gold_oz_produced;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NET_INTEREST_EX_CAPITALIZED_LESS_INTEREST_INCOME;DUAL_SOURCE_UNAVAILABLE:capex_ppe_additions;TIERC:cash_tax_paid:FY_PRORATA_REV;CASH_TAX_ALLOCATED_FROM_FY;NOT_DISCLOSED:cash_tax_paid_alt;derived_from_cumulative;derived_from_cumulative,data/raw/NEM/2006-Q2_0001193125-06-154983_d10q.htm,,False,,,,,338.0,
NEM,2006Q3,2006-07-01,2006-09-30,consolidated,1009.0,1102.0,525.0,133.0,,29.0,60.0,401.0,,,12.0,15.0,94.214,1698000,,,,,,,198.0,,,,,,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:total_cash_cost;TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST;RECLASSIFIED_OUT_OF_CAS_FY2008_PER_10K_NOTE_30;NOT_DISCLOSED:published_aisc;NOT_DISCLOSED:published_aic;NOT_DISCLOSED:gold_oz_produced;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NET_INTEREST_EX_CAPITALIZED_LESS_INTEREST_INCOME;DUAL_SOURCE_UNAVAILABLE:capex_ppe_additions;TIERC:cash_tax_paid:FY_PRORATA_REV;CASH_TAX_ALLOCATED_FROM_FY;NOT_DISCLOSED:cash_tax_paid_alt;derived_from_cumulative;derived_from_cumulative,data/raw/NEM/2006-Q3_0001193125-06-220752_d10q.htm,,False,,,,,401.0,
NEM,2006Q4,2006-10-01,2006-12-31,consolidated,1188.0,1427.0,630.0,155.0,,46.0,76.0,442.0,,,11.0,11.0,110.928,1954000,,,,,,,223.0,,,,,,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:total_cash_cost;TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST;RECLASSIFIED_OUT_OF_CAS_FY2008_PER_10K_NOTE_30;NOT_DISCLOSED:published_aisc;NOT_DISCLOSED:published_aic;NOT_DISCLOSED:gold_oz_produced;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NET_INTEREST_EX_CAPITALIZED_LESS_INTEREST_INCOME;DUAL_SOURCE_UNAVAILABLE:capex_ppe_additions;TIERC:cash_tax_paid:FY_PRORATA_REV;CASH_TAX_ALLOCATED_FROM_FY;NOT_DISCLOSED:cash_tax_paid_alt;derived_from_cumulative;derived_q4;SEGMENT_DDA_TOTAL_OPERATIONS_BASIS,data/raw/NEM/2006-Q4_0001193125-07-038537_d10k.htm;data/raw/NEM/2006-Q3_0001193125-06-220752_d10q.htm,,True,4316.0,2207.0,1551.0,403.0,442.0,
NEM,2007Q1,2007-01-01,2007-03-31,consolidated,1043.0,1256.0,676.0,153.0,,37.0,58.0,362.0,,,11.0,,78.498,1605000,,,,,,,68.0,,,,,,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:total_cash_cost;TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST;RECLASSIFIED_OUT_OF_CAS_FY2008_PER_10K_NOTE_30;NOT_DISCLOSED:published_aisc;NOT_DISCLOSED:published_aic;NOT_DISCLOSED:gold_oz_produced;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NET_INTEREST_EX_CAPITALIZED_LESS_INTEREST_INCOME;DUAL_SOURCE_UNAVAILABLE:capex_ppe_additions;TIERC:cash_tax_paid:FY_PRORATA_REV;CASH_TAX_ALLOCATED_FROM_FY;NOT_DISCLOSED:cash_tax_paid_alt,data/raw/NEM/2007-Q1_0001193125-07-093862_d10q.htm,,False,,,,,362.0,
NEM,2007Q2,2007-04-01,2007-06-30,consolidated,962.0,1302.0,628.0,161.0,,36.0,58.0,351.0,,,16.0,,72.401,1448000,,,,,,,-2062.0,,,,,531.0,ONLY_CONSOLIDATED;NOT_DISCLOSED:royalties;NOT_DISCLOSED:total_cash_cost;TIERAEQ:reclamation_accretion:BUNDLED_IN_OPCOST;RECLASSIFIED_OUT_OF_CAS_FY2008_PER_10K_NOTE_30;NOT_DISCLOSED:published_aisc;NOT_DISCLOSED:published_aic;NOT_DISCLOSED:gold_oz_produced;TIERAEQ:lease_payments:PRE_IFRS16_IN_OPCOST;NET_INTEREST_EX_CAPITALIZED_LESS_INTEREST_INCOME;DUAL_SOURCE_UNAVAILABLE:capex_ppe_additions;TIERC:cash_tax_paid:FY_PRORATA_REV;CASH_TAX_ALLOCATED_FROM_FY;NOT_DISCLOSED:cash_tax_paid_alt;derived_from_cumulative;derived_from_cumulative,data/raw/NEM/2007-Q2_0001193125-07-169323_d10q.htm,,False,,,,,351.0,
