ticker,quarter,price,L0a,AISCm,GAIM
NEM,2021Q1,1751.5878616796049,38.718775181305396,40.68239323126511,21.84977879703603
NEM,2021Q2,1821.3296398891966,40.68441064638783,43.17338403041825,23.81357426142866
NEM,2021Q3,1776.8361581920904,34.41971383147854,36.96661367249603,17.544951066160685
NEM,2021Q4,1799.3827160493827,37.15265866209263,41.3132075471698,21.51984700469088
NEM,2022Q1,1891.647855530474,35.24264120922832,38.889260143198086,20.723610065584765
NEM,2022Q2,1836.7071524966261,32.14548126377664,34.72013225569434,13.417933209478555
NEM,2022Q3,1689.432063263839,24.04255319148936,24.76761702127659,1.3407713829642054
NEM,2022Q4,1757.7639751552795,29.29328621908127,30.878091872791515,8.510712784558141
NEM,2023Q1,1906.4569536423842,29.35301780286583,27.824229266174562,10.343133795530944
NEM,2023Q2,1965.3179190751443,29.873949579831933,25.10117647058823,6.74732281027348
NEM,2023Q3,1920.0,29.375,25.72916666666667,3.882024397852357
NEM,2023Q4,2004.5688178183893,30.826210826210826,25.91923076923076,7.276764713367065
NEM,2024Q1,2089.430894308943,34.39090092786591,31.1295719844358,16.853578306063095
NEM,2024Q2,2348.0233311730394,38.586806513938726,33.47595914987579,19.42112729980087
NEM,2024Q3,2515.9438775510203,40.050697084917616,35.96836501901141,18.902664074014442
NEM,2024Q4,2644.6145434663754,48.31507132520157,44.68002894356007,28.046210203519372
NEM,2025Q1,2943.8280166435507,47.820965842167254,43.916560659599526,25.572953033861605
NEM,2025Q2,3320.289855072464,52.96813618507203,52.02226102138805,32.781491911296115
NEM,2025Q3,3539.8028809704324,56.22188905547226,55.76024844720497,37.57746527584454
NEM,2025Q4,4214.804063860667,63.412534435261705,61.56404958677686,45.463767922700164
NEM,2026Q1,4899.350649350649,65.22531477799868,65.11782637508283,44.06709235939683
NEM,2026Q2,4415.062761506277,57.67626990144048,56.104814253222145,33.53834655862057
GOLD,2021Q1,1774.9313815187559,40.666414237031425,42.64567010309279,26.361608526724666
GOLD,2021Q2,1822.429906542056,39.89957512553109,40.35435897435897,9.951565939388066
GOLD,2021Q3,1770.3081232492998,37.06045041485579,41.59208860759493,12.621791274397056
GOLD,2021Q4,1793.354943273906,40.81289889150151,45.8556710347944,27.467614246991285
GOLD,2022Q1,1876.1329305135953,37.27598566308244,37.95748792270531,16.668488304457235
GOLD,2022Q2,1860.576923076923,34.69387755102041,34.858914728682166,8.117728867071985
GOLD,2022Q3,1723.1695085255767,28.502415458937197,26.356635622817226,0.05559630996219951
GOLD,2022Q4,1726.3726372637263,25.956607495069033,28.05724713242961,1.865249164899765
GOLD,2023Q1,1901.46750524109,27.250103691414353,27.95038588754134,8.930784980492831
GOLD,2023Q2,1972.0279720279718,32.469040247678016,31.289007092198574,6.623561977970819
GOLD,2023Q3,1928.919182083739,33.34621329211747,34.93765774861182,13.367453073206766
GOLD,2023Q4,1985.6046065259118,30.68305023491146,31.305558240695987,11.287965990619607
GOLD,2024Q1,2075.824175824176,30.69620253164557,28.992059290629967,9.919293429425885
GOLD,2024Q2,2343.0962343096235,37.62203626220363,36.067499999999995,10.016302377341813
GOLD,2024Q3,2495.3464322647364,40.361640297061676,39.607583920431,20.432577078269752
